ISO,Comm
COG,1
PAK,1
JOR,1
SEN,1
HRV,1
MKD,1
ARM,1
GNQ,1
SVK,1
CYP,1
ETH,1
ARG,1
UGA,1
MLT,1
IRN,1
BOL,1
MOZ,1
YEM,1
KWT,1
NER,1
LBR,1
CHL,1
BHR,1
PER,1
AUT,1
ISL,1
KHM,1
ECU,1
MUS,1
SAU,1
RUS,1
MWI,1
SYC,1
COM,1
BGR,1
LVA,1
TUN,1
HKG,1
GEO,1
MDA,1
BEN,1
FIN,1
LBN,1
BDI,1
BFA,1
GRC,1
TJK,1
KAZ,1
MLI,1
NOR,1
TZA,1
HUN,1
AGO,1
CMR,1
AZE,1
PRT,1
KGZ,1
MRT,1
TKM,1
UZB,1
EST,1
BLR,1
ZMB,1
GAB,1
ZWE,1
BIH,1
CIV,1
GHA,1
BWA,1
DZA,1
ARE,1
NGA,1
KEN,1
MDG,1
COL,1
LTU,1
GIN,1
OMN,1
EGY,1
ALB,1
LUX,1
UKR,1
QAT,1
HTI,2
TTO,2
SLV,2
POL,2
DMA,2
TON,2
GTM,2
BMU,2
DEU,2
CAN,2
LAO,2
CRI,2
SGP,2
VEN,2
ZAF,2
USA,2
PAN,2
IND,2
DOM,2
KOR,2
NLD,2
ATG,2
AUS,2
VNM,2
BTN,2
CZE,2
SWZ,2
MDV,2
ITA,2
GUY,2
JAM,2
ESP,2
TCD,2
THA,2
NPL,2
CAF,2
KIR,2
PNG,2
PLW,2
IRL,2
TGO,2
FRA,2
MEX,2
GNB,2
ISR,2
SUR,2
CHN,2
BHS,2
NZL,2
BRN,2
BGD,2
PHL,2
TUR,2
BRA,2
MAC,2
MYS,2
SLE,2
GMB,2
IDN,2
LKA,2
SWE,2
URY,2
SVN,2
FJI,2
ERI,2
GBR,2
LSO,2
NIC,2
JPN,2
CHE,2
BEL,2
MNG,2
HND,2
PRY,2
BRB,2
GRD,2
MAR,2
DNK,2
